Approach	PrunedMSM	PrunedMSM_DA	PMSMSearch with LB_Sorted	PMSMSearch with LB_Sorted2	DTW	PMSMSearch with Sakoe 1	PMSMSearch with Sakoe 5	PMSMSearch with Sakoe 10	PMSMSearch with Sakoe 20	PMSMSearch with Sakoe 50	PMSMSearch with LBKIm 5	PMSMSearch with LBKIm 10	PMSMSearch with LBKIm 20	PMSMSearch with LBKIm 50	PMSMSearch with LBSakoeTree5	PMSMSearch with LBSakoeTree10	PMSMSearch with LBSakoeTree20	PMSMSearch with LBSakoeTree50	PMSMSearch with Itakura 0.95	PMSMSearch with Itakura 0.9	PMSMSearch with Itakura 0.8	PMSMSearch with Itakura 0.5	PMSMSearch with LB_EDCost	PMSMSearch with LB_EDCost2	PMSMSearch with LB_EDCost3
NonInvasiveFetalECGThorax2	0.881934	0.881934	0.881934	0.881934	0.8646	0.879898	0.881934	0.881934	0.881934	0.881934	0.881934	0.881934	0.881934	0.881934	0.881934	0.881934	0.881934	0.881934	0.850891	0.870229	0.881934	0.885496	0.852417	0.842239	0.881934
OliveOil	0.833333	0.833333	0.833333	0.833333	0.8333	0.833333	0.833333	0.833333	0.833333	0.833333	0.833333	0.833333	0.833333	0.833333	0.833333	0.833333	0.833333	0.833333	0.833333	0.866667	0.833333	0.833333	0.833333	0.833333	0.833333
OSULeaf	0.752066	0.752066	0.752066	0.752066	0.5909	0.574380	0.690083	0.756198	0.756198	0.752066	0.752066	0.752066	0.752066	0.752066	0.752066	0.752066	0.752066	0.752066	0.566116	0.603306	0.694215	0.739669	0.545455	0.752066	0.698347
PhalangesOutlinesCorrect	0.737762	0.737762	0.737762	0.737762	0.7284	0.588578	0.737762	0.737762	0.737762	0.737762	0.737762	0.737762	0.737762	0.737762	0.737762	0.737762	0.737762	0.737762	0.630536	0.630536	0.716783	0.736597	0.749417	0.747086	0.737762
Phoneme	0.283228	0.283228	0.283228	0.283228	0.2284	0.110232	0.198312	0.233650	0.265295	0.283228	0.283228	0.283228	0.283228	0.283228	0.283228	0.283228	0.283228	0.283228	0.117616	0.138713	0.179852	0.219409	0.261076	0.283228	0.277426
Plane	1.000000	1.000000	1.000000	1.000000	1	0.961905	1.000000	1.000000	1.000000	1	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.980952	1.000000	1.000000	1.000000	0.961905	1.000000	1.000000
ProximalPhalanxOutlineAgeGroup	0.790244	0.790244	0.790244	0.790244	0.8049	0.702439	0.790244	0.790244	0.790244	0.790244	0.790244	0.790244	0.790244	0.790244	0.790244	0.790244	0.790244	0.790244	0.780488	0.785366	0.785366	0.775610	0.790244	0.790244	0.790244
ProximalPhalanxOutlineCorrect	0.786942	0.786942	0.786942	0.786942	0.7835	0.663230	0.786942	0.786942	0.786942	0.786942	0.786942	0.786942	0.786942	0.786942	0.786942	0.786942	0.786942	0.786942	0.621993	0.632302	0.783505	0.783505	0.783505	0.783505	0.786942
ProximalPhalanxTW	0.702439	0.702439	0.702439	0.702439	0.7561	0.580488	0.702439	0.702439	0.702439	0.702439	0.702439	0.702439	0.702439	0.702439	0.702439	0.702439	0.702439	0.702439	0.731707	0.712195	0.692683	0.717073	0.692683	0.692683	0.702439
RefrigerationDevices	0.472000	0.472000	0.472000	0.472000	0.464	0.488000	0.493333	0.474667	0.472000	0.472000	0.472000	0.472000	0.472000	0.472000	0.472000	0.472000	0.472000	0.472000	0.485333	0.490667	0.466667	0.485333	0.466667	0.472000	0.498667
ScreenType	0.408000	0.408000	0.408000	0.408000	0.3973	0.370667	0.413333	0.416000	0.405333	0.408000	0.408000	0.408000	0.408000	0.408000	0.408000	0.408000	0.408000	0.408000	0.384000	0.410667	0.416000	0.410667	0.402667	0.405333	0.408000
ShapeletSim	0.877778	0.877778	0.877778	0.877778	0.65	0.550000	0.788889	0.866667	0.877778	0.877778	0.877778	0.877778	0.877778	0.877778	0.877778	0.877778	0.877778	0.877778	0.500000	0.583333	0.672222	0.722222	0.877778	0.877778	0.877778
ShapesAll	0.875000	0.875000	0.875000	0.875000	0.7683	0.786667	0.846667	0.856667	0.873333	0.875000	0.875000	0.875000	0.875000	0.875000	0.875000	0.875000	0.875000	0.875000	0.786667	0.813333	0.830000	0.860000	0.696667	0.846667	0.848333
SmallKitchenAppliances	0.506667	0.506667	0.506667	0.477333	0.6427	0.445333	0.450667	0.509333	0.506667	0.506667	0.506667	0.506667	0.506667	0.506667	0.506667	0.506667	0.506667	0.506667	0.450667	0.477333	0.498667	0.506667	0.506667	0.506667	0.506667
SonyAIBORobotSurface1	0.727121	0.727121	0.727121	0.727121	0.7255	0.584027	0.727121	0.727121	0.727121	0.727121	0.727121	0.727121	0.727121	0.727121	0.727121	0.727121	0.727121	0.727121	0.595674	0.660566	0.710483	0.705491	0.727121	0.727121	0.727121
SonyAIBORobotSurface2	0.866737	0.866737	0.866737	0.866737	0.8311	0.766002	0.858342	0.868835	0.865687	0.866737	0.866737	0.866737	0.866737	0.866737	0.866737	0.866737	0.866737	0.866737	0.886674	0.855194	0.849948	0.847849	0.866737	0.866737	0.866737
StarLightCurves	0.868383	0.868383	0.868383	0.868383	0.9066	0.860248	0.868261	0.868261	0.868383	0.868383	0.868383	0.868383	0.868383	0.868383	0.868383	0.868383	0.868383	0.868383	0.860855	0.860976	0.863769	0.868140	0.850413	0.859155	0.868383
Strawberry	0.948649	0.948649	0.948649	0.948649	0.9405	0.948649	0.948649	0.948649	0.948649	0.948649	0.948649	0.948649	0.948649	0.948649	0.948649	0.948649	0.948649	0.948649	0.924324	0.864865	0.943243	0.948649	0.948649	0.948649	0.948649
SwedishLeaf	0.897600	0.897600	0.897600	0.897600	0.792	0.830400	0.900800	0.897600	0.897600	0.897600	0.897600	0.897600	0.897600	0.897600	0.897600	0.897600	0.897600	0.897600	0.820800	0.860800	0.876800	0.896000	0.832000	0.876800	0.902400
